ticket_id,account_id,account_segment,region,tenure_months,account_contract_value,created_at,resolved_at,priority,issue_type,channel,team,first_response_minutes,resolution_minutes,satisfaction_score,reopened,response_sla_met,resolution_sla_met,churned,churn_window_flag,churn_90d
TCK-20241,ACCT-1204,smb,North America,46,7072,06/11/2025 18:09,06/12/2025 07:26,Medium,onboarding,email,core_support,29.3,797.7,2.0,False,True,False,False,False,False
TCK-11894,ACCT-0149,smb,N.A.,37,4465,10/01/2025 07:53,2025/10/01 10:06:52,medium,product_bug,email,core_support,113.2,133.9,5.0,False,True,True,False,False,False
TCK-15934,ACCT-1390,smb,EMEA,12,2486,2025/06/16 13:55:00,06/16/2025 20:50,medium,product_bug,phone,core_support,104.4,415.8,2.0,True,True,True,False,False,False
TCK-19708,ACCT-0872,smb,North America,5,3663,10/08/2025 09:03,08-Oct-2025 19:19,medium,integration,webform,BILLING,23.0,616.3,3.0,True,True,True,False,False,False
TCK-10790,ACCT-0918,enterprise,EMEA,44,119597,2025/02/25 18:57:00,2025/02/25 21:32:12,low,product_bug,chat,billing,14.4,155.2,4.0,True,True,True,False,False,False
TCK-20208,ACCT-0164,smb,North America,10,5555,2025/03/20 09:15:00,2025/03/20 11:57:14,medium,usability,email,core_support,72.6,162.2,4.0,False,True,True,False,False,False
TCK-19027,ACCT-1296,SMB,North America,8,7600,10/13/2025 23:20,10/14/2025 13:39,medium,product_bug,email,core_support,41.2,859.4,3.0,False,True,False,False,False,False
TCK-14796,ACCT-0936,smb,EMEA,34,5993,17-Jul-2025 09:10,07/17/2025 11:38,low,onboarding,E-mail,core_support,73.5,148.6,4.0,False,True,True,False,False,False
TCK-19828,ACCT-0883,MidMarket,North America,32,6035,06/20/2025 19:39,06/21/2025 01:14,low,product_bug,chat,integrations,48.6,335.9,3.0,False,True,True,False,False,False
TCK-16692,ACCT-0349,smb,APAC,40,4955,2025/04/25 14:52:00,25-Apr-2025 23:28,low,billing,email,billing,62.0,516.2,4.0,False,True,True,True,False,False
TCK-13518,ACCT-1048,smb,North America,32,5261,07/13/2025 11:07,07/13/2025 12:17,high,product_bug,chat,Int.,9.5,70.2,3.0,False,True,True,False,False,False
TCK-10171,ACCT-1161,midmarket,,42,36363,05-Oct-2025 18:25,05-Oct-2025 21:51,urgent,onboarding,chat,premium_support,72.7,206.0,4.0,False,False,True,False,False,False
TCK-10598,ACCT-0036,midmarket,APAC,33,15005,09/19/2025 13:00,09/19/2025 17:15,medium,billing,chat,billing,173.4,255.4,2.0,False,True,True,False,False,False
TCK-20078,ACCT-0387,smb,Apac,17,3259,07/19/2025 17:35,07/19/2025 22:10,medium,onboarding,email,integrations,83.5,275.5,4.0,False,True,True,False,False,False
TCK-17037,ACCT-0954,enterprise,North America,18,182516,05/17/2025 16:02,05/17/2025 21:47,high,onboarding,email,billing,43.6,345.0,3.0,False,True,True,False,False,False
TCK-17536,ACCT-0350,midmarket,Apac,3,18220,23-Sep-2025 14:03,09/24/2025 07:41,high,product_bug,email,integrations,58.4,1058.0,3.0,False,True,False,False,False,False
TCK-15293,ACCT-0317,smb,North America,21,6650,09/13/2025 12:59,09/14/2025 04:16,low,product_bug,email,core_support,92.7,917.2,3.0,False,True,True,False,False,False
TCK-19208,ACCT-1206,midmarket,EMEA,6,27874,14-Oct-2025 08:21,2025/10/14 13:20:53,medium,billing,chat,core_support,63.8,299.9,3.0,False,True,True,False,False,False
TCK-20622,ACCT-0332,midmarket,North America,36,13149,05/08/2025 18:21,05/08/2025 19:39,medium,integration,chat,core_support,38.9,78.7,3.0,False,True,True,False,False,False
TCK-12498,ACCT-1162,smb,North America,12,2304,05/06/2025 09:28,06-May-2025 11:11,medium,onboarding,webForm,billing,61.8,103.9,2.0,True,True,True,False,False,False
TCK-16503,ACCT-0658,smb,North America,15,6748,2025/02/04 11:01:00,04-Feb-2025 17:02,low,onboarding,chat,billing,,361.3,3.0,False,True,True,False,False,False
TCK-16898,ACCT-1344,midmarket,North America,4,29217,10/10/2025 17:50,10/11/2025 03:25,medium,product_bug,chat,core_support,78.1,575.9,,False,True,True,False,False,False
TCK-10433,ACCT-1265,smb,APAC,47,5481,10/01/2025 19:16,10/01/2025 22:14,urgent,onboarding,email,core_support,59.7,178.2,2.0,False,True,True,False,False,False
TCK-14439,ACCT-0309,midmarket,North America,27,26000,2025/08/30 00:53:00,08/30/2025 03:25,low,Product_bug,chat,core_support,,152.6,4.0,False,True,True,False,False,False
TCK-11308,ACCT-0117,SMB,APAC,19,10167,07-Mar-2025 18:07,03/08/2025 00:23,high,Usability,email,billing,172.2,376.3,4.0,False,False,True,False,False,False
TCK-12802,ACCT-0274,enterprise,North America,28,83894,2025/01/23 17:55:00,01/23/2025 19:13,medium,usability,email,integrations,55.2,78.3,4.0,False,True,True,False,False,False
TCK-20224,ACCT-1390,smb,EMEA,12,2486,10/02/2025 19:53,2025/10/03 07:33:14,medium,product_bug,webform,core_support,261.8,700.2,4.0,False,False,True,False,False,False
TCK-13802,ACCT-0974,smb,EMEA,15,4315,16-May-2025 16:34,05/17/2025 03:15,medium,onboarding,webform,core_support,65.1,641.3,3.0,False,True,True,False,False,False
TCK-10328,ACCT-0106,smb,EMEA,31,6264,10/03/2025 11:16,2025/10/03 18:25:03,medium,billing,chat,core_support,303.1,429.1,,False,False,True,False,False,False
TCK-19577,ACCT-0101,smb,EMEA,25,3431,2025/09/04 12:30:00,09/05/2025 02:14,low,onboarding,email,billing,133.4,824.7,3.0,False,True,True,False,False,False
TCK-13055,ACCT-0246,enterprise,EMEA,22,85885,10/04/2025 16:20,10/04/2025 20:25,high,billing,chat,billing,28.2,245.7,3.0,False,True,True,False,False,False
TCK-12079,ACCT-0095,midmarket,EMEA,42,25122,09/29/2025 15:37,09/29/2025 19:49,medium,product_bug,email,core_support,88.0,252.9,,False,True,True,False,False,False
TCK-21545,ACCT-1401,smb,North America,19,2812,2025/07/29 21:20:00,07/30/2025 01:04,medium,billing,chat,core_support,21.6,224.8,3.0,False,True,True,False,False,False
TCK-14075,ACCT-1305,midmarket,North America,46,18307,01/21/2025 17:51,01/22/2025 01:13,high,integration,email,core_support,294.3,442.6,2.0,True,False,True,True,False,False
TCK-19118,ACCT-1055,enterprise,North America,12,96058,06/22/2025 10:50,22-Jun-2025 13:19,high,onboarding,chat,core_support,34.1,149.7,4.0,False,True,True,False,False,False
TCK-13007,ACCT-0742,smb,EMEA,6,4537,10/11/2025 08:45,2025/10/11 14:52:40,high,onboarding,phone,core_support,64.2,367.7,3.0,False,True,True,False,False,False
TCK-13903,ACCT-0442,enterprise,North America,25,109413,2025/04/02 17:20:00,03-Apr-2025 00:50,medium,feature_request,email,Int.,20.3,450.2,3.0,False,True,True,False,False,False
TCK-16268,ACCT-0989,smb,APAC,10,2527,05/25/2025 18:21,05/25/2025 21:13,medium,feature_request,chat,billing,19.3,173.0,4.0,False,True,True,False,False,False
TCK-15590,ACCT-0008,midmarket,APAC,10,26415,2025/07/24 16:48:00,2025/07/25 12:42:18,medium,usability,phone,,8.6,1194.3,3.0,False,True,False,True,True,True
TCK-20456,ACCT-1258,smb,APAC,44,5798,26-Aug-2025 12:20,08/26/2025 19:50,urgent,Bug,Email,Int.,333.9,450.1,2.0,False,False,False,False,False,False
TCK-10019,ACCT-1049,midmarket,APAC,23,35280,05/28/2025 11:21,29-May-2025 15:54,high,billing,email,integrations,262.1,1713.4,3.0,False,False,False,False,False,False
TCK-21955,ACCT-0065,smb,North America,18,4397,10/15/2025 18:10,2025/10/16 00:39:12,high,onboarding,chat,integrations,47.8,389.2,4.0,False,True,True,False,False,False
TCK-19486,ACCT-0492,midmarket,EMEA,12,26829,05/31/2025 09:39,2025/05/31 17:09:06,medium,integration,chat,billing,48.2,450.1,3.0,False,True,True,True,False,False
TCK-16887,ACCT-0594,MidMarket,North America,47,2236,10/05/2025 15:16,05-Oct-2025 21:18,low,feature_request,chat,core_support,126.3,362.2,3.0,False,True,True,False,False,False
TCK-11778,ACCT-0237,smb,APAC,12,4209,07/09/2025 15:46,09-Jul-2025 21:47,medium,onboarding,phone,core_support,83.3,361.4,4.0,False,True,True,False,False,False
TCK-17312,ACCT-1212,SMB,North America,24,4112,02/28/2025 20:09,02/28/2025 23:20,medium,billing,email,billing,133.5,191.8,4.0,False,True,True,True,True,True
TCK-10304,ACCT-1105,enterprise,EMEA,23,58921,08/16/2025 11:45,16-Aug-2025 16:46,low,onboarding,email,core_support,106.4,301.9,3.0,True,True,True,False,False,False
TCK-16192,ACCT-0184,midmarket,North America,16,13004,15-Jul-2025 10:20,2025/07/15 14:25:10,high,usability,email,integrations,104.5,245.2,4.0,False,True,True,False,False,False
TCK-10139,ACCT-1157,smb,EMEA,44,7192,07/09/2025 18:59,07/09/2025 22:26,medium,billing,email,integrations,46.0,207.3,4.0,False,True,True,False,False,False
TCK-14874,ACCT-0787,smb,North America,6,4568,03/18/2025 14:14,03/20/2025 07:10,medium,integration,webform,integrations,3.8,2456.5,3.0,True,True,False,True,False,False
TCK-16938,ACCT-0443,smb,EMEA,18,2722,2025/01/03 16:31:00,03-Jan-2025 20:47,medium,onboarding,email,core_support,82.9,256.9,2.0,False,True,True,False,False,False
TCK-16505,ACCT-0239,midmarket,North America,24,20284,17-Jun-2025 15:40,18-Jun-2025 08:46,high,,email,integrations,307.7,1026.5,4.0,False,False,False,False,False,False
TCK-21663,ACCT-0321,smb,North America,43,5402,06/15/2025 17:02,06/15/2025 23:19,Medium,onboarding,email,billing,2.8,377.2,4.0,False,True,True,False,False,False
TCK-15939,ACCT-0415,midmarket,N.A.,27,18356,2025/02/08 12:52:00,2025/02/08 20:34:42,medium,usability,email,billing,18.1,462.7,3.0,False,True,True,False,False,False
TCK-20809,ACCT-0946,smb,APAC,11,4912,04/13/2025 11:18,13-Apr-2025 19:52,low,usability,chat,core_support,146.5,514.5,3.0,False,True,True,False,False,False
TCK-18228,ACCT-0590,smb,Apac,38,2533,2025/07/06 08:02:00,07/06/2025 15:20,medium,integration,E-mail,core_support,94.1,438.3,3.0,True,True,True,True,True,True
TCK-12111,ACCT-1370,smb,N.A.,36,4436,04-Jul-2025 18:30,2025/07/05 00:03:04,low,product_bug,email,premium_support,0.7,333.1,3.0,False,True,True,False,False,False
TCK-20170,ACCT-0794,midmarket,EMEA,19,25047,10/14/2025 06:45,10/14/2025 18:22,medium,usability,chat,billing,101.0,697.9,4.0,False,True,True,False,False,False
TCK-20579,ACCT-1151,midmarket,EMEA,16,15524,10/06/2025 10:03,10/07/2025 02:26,medium,product_bug,email,premium_support,112.3,983.5,3.0,False,True,False,False,False,False
TCK-21758,ACCT-0241,enterprise,North America,45,132889,2025/07/16 17:52:00,2025/07/17 08:28:41,high,product_bug,chat,premium_support,249.7,876.7,3.0,False,False,False,False,False,False
TCK-17899,ACCT-0666,smb,North America,17,1626,05/01/2025 14:41,05/01/2025 16:13,urgent,billing,chat,core_support,17.4,92.3,4.0,False,True,True,False,False,False
TCK-10661,ACCT-0292,smb,APAC,38,9188,2025/03/10 07:05:00,03/10/2025 18:36,medium,onboarding,email,integrations,65.0,691.6,3.0,False,True,True,False,False,False
TCK-18474,ACCT-1185,smb,APAC,27,2524,04-May-2025 02:59,2025/05/04 04:58:21,medium,product_bug,Email,billing,48.4,119.4,3.0,False,True,True,False,False,False
TCK-15906,ACCT-0658,smb,North America,15,6748,04/14/2025 08:58,14-Apr-2025 10:27,high,integration,webform,billing,72.2,89.7,3.0,False,True,True,False,False,False
TCK-12922,ACCT-0424,smb,EMEA,44,4874,2025/08/07 13:43:00,07-Aug-2025 15:33,medium,billing,email,billing,37.9,110.7,3.0,False,True,True,False,False,False
TCK-11868,ACCT-1043,smb,EMEA,32,4224,01/10/2025 15:37,10-Jan-2025 17:41,high,billing,chat,integrations,31.6,124.9,4.0,False,True,True,False,False,False
TCK-17575,ACCT-1126,smb,North America,19,3608,04-Aug-2025 14:44,05-Aug-2025 02:51,high,onboarding,chat,core_support,13.4,727.5,4.0,False,True,False,False,False,False
TCK-14096,ACCT-0919,midmarket,North America,44,22784,10/08/2025 12:42,10/08/2025 16:28,high,Product_bug,chat,core_support,22.1,226.4,4.0,False,True,True,False,False,False
TCK-13212,ACCT-0891,midmarket,North America,39,36189,04/09/2025 12:41,04/09/2025 19:59,medium,usability,email,integrations,47.1,438.3,3.0,False,True,True,False,False,False
TCK-14381,ACCT-1354,MidMarket,EMEA,47,14621,02-Oct-2025 15:43,2025/10/03 02:49:34,low,usability,phone,billing,173.9,666.6,3.0,False,True,True,False,False,False
TCK-15619,ACCT-1388,smb,North America,11,4541,05-Mar-2025 18:31,03/05/2025 19:35,Medium,usability,chat,core_support,24.0,,3.0,False,True,True,True,False,False
TCK-17137,ACCT-1045,midmarket,APAC,15,9984,08/21/2025 18:48,08/22/2025 04:15,high,feature_request,chat,core_support,58.2,567.7,2.0,False,True,False,False,False,False
TCK-13460,ACCT-0946,smb,APAC,11,4912,26-Mar-2025 09:12,03/26/2025 14:54,high,product_bug,email,core_support,47.0,342.3,3.0,False,True,True,False,False,False
TCK-18687,ACCT-1173,midmarket,North America,43,10066,07/19/2025 15:10,07/19/2025 21:07,high,usability,webform,core_support,30.5,357.5,,False,True,True,False,False,False
TCK-16961,ACCT-0797,ENTERPRISE,APAC,22,100496,06/12/2025 13:03,06/12/2025 17:53,medium,billing,webform,integrations,18.3,290.2,2.0,False,True,True,False,False,False
TCK-16327,ACCT-1319,smb,North America,42,2283,03/25/2025 15:36,03/26/2025 13:48,medium,product_bug,webForm,billing,161.3,1332.8,3.0,False,True,False,False,False,False
TCK-19915,ACCT-0267,midmarket,EMEA,43,27781,07/23/2025 14:34,07/23/2025 21:06,High,product_bug,chat,core_support,129.3,393.0,2.0,False,True,True,False,False,False
TCK-21093,ACCT-1023,enterprise,North America,29,128117,06-Jan-2025 18:24,01/06/2025 21:06,high,product_bug,E-mail,core_support,16.4,162.7,,False,True,True,False,False,False
TCK-16985,ACCT-0863,smb,North America,36,4080,2025/08/14 13:56:00,08/15/2025 10:17,medium,feature_request,email,billing,,1221.4,2.0,False,True,False,False,False,False
TCK-15503,ACCT-0930,smb,North America,44,4030,03/15/2025 15:40,2025/03/16 06:23:39,medium,feature_request,email,integrations,79.7,883.7,3.0,False,True,False,False,False,False
TCK-13632,ACCT-0516,smb,EMEA,19,2572,14-Feb-2025 12:27,14-Feb-2025 14:27,low,Usability,webform,core_support,44.4,120.8,4.0,False,True,True,False,False,False
TCK-16342,ACCT-0464,smb,EMEA,24,8691,05/08/2025 02:49,05/08/2025 08:56,high,feature_request,chat,integrations,12.3,367.2,4.0,False,True,True,False,False,False
TCK-16735,ACCT-0933,enterprise,EMEA,41,126296,04/17/2025 11:39,04/17/2025 19:32,low,onboarding,email,integrations,248.1,473.0,3.0,False,True,True,False,False,False
TCK-19781,ACCT-1097,smb,Apac,40,7136,05/14/2025 13:26,14-May-2025 15:09,low,integration,chat,integrations,54.7,103.4,3.0,False,True,True,False,False,False
TCK-21852,ACCT-0417,smb,APAC,26,5447,08/05/2025 12:39,2025/08/06 15:21:17,medium,onboarding,webform,core_support,178.1,1602.3,3.0,False,True,False,False,False,False
TCK-19679,ACCT-0280,midmarket,North America,24,22127,2025/02/03 13:50:00,02/03/2025 20:46,high,integration,phone,BILLING,75.6,416.1,3.0,True,True,True,False,False,False
TCK-18207,ACCT-0109,smb,North America,8,6627,10/05/2025 13:32,10/06/2025 01:27,low,product_bug,E-mail,core_support,123.4,715.1,4.0,False,True,True,False,False,False
TCK-20814,ACCT-0027,smb,EMEA,26,4583,08/08/2025 09:15,2025/08/08 13:22:52,high,integration,email,core_support,61.4,247.9,4.0,False,True,True,True,False,False
TCK-13552,ACCT-0799,midmarket,EMEA,45,26508,2025/08/06 12:21:00,08/06/2025 16:18,high,usability,phone,premium_support,97.6,237.1,3.0,False,True,True,False,False,False
TCK-20817,ACCT-0629,Small Biz,,47,6570,08/05/2025 13:37,08/05/2025 16:44,high,billling,chat,core_support,155.6,187.1,3.0,False,False,True,False,False,False
TCK-10784,ACCT-0112,smb,North America,5,2711,03/19/2025 18:02,03/19/2025 19:27,low,usability,chat,billing,56.5,85.3,3.0,False,True,True,True,True,True
TCK-12180,ACCT-0409,enterprise,North America,3,73060,10/08/2025 15:31,09-Oct-2025 03:04,medium,product_bug,email,core_support,65.9,693.6,3.0,False,True,True,False,False,False
TCK-13227,ACCT-0703,smb,APAC,22,2279,30-Sep-2025 15:59,10/01/2025 00:33,medium,product_bug,email,integrations,33.7,514.3,3.0,False,True,True,False,False,False
TCK-15311,ACCT-0861,midmarket,North America,9,10290,09/08/2025 23:58,09-Sep-2025 01:26,high,product_bug,chat,billing,19.2,88.7,4.0,False,True,True,False,False,False
TCK-12610,ACCT-0155,enterprise,APAC,27,104449,07/03/2025 17:14,07/04/2025 00:15,high,onboarding,email,integrations,72.2,421.5,3.0,False,True,True,False,False,False
TCK-14006,ACCT-0583,smb,EMEA,4,6606,06/22/2025 11:45,06/23/2025 00:53,low,onboarding,phone,premium_support,130.2,788.8,3.0,False,True,True,False,False,False
TCK-12870,ACCT-0509,enterprise,EMEA,15,147688,08/25/2025 15:35,2025/08/25 19:09:27,medium,usability,E-mail,core_support,55.0,214.5,3.0,False,True,True,False,False,False
TCK-17026,ACCT-0356,midmarket,EMEA,8,14614,09-Apr-2025 11:31,04/10/2025 02:20,medium,feature_request,webform,billing,84.6,890.0,3.0,False,True,False,False,False,False
TCK-20182,ACCT-0377,midmarket,North America,24,16549,22-Aug-2025 18:18,08/23/2025 00:02,high,usability,email,billing,17.0,344.7,3.0,False,True,True,False,False,False
TCK-20161,ACCT-1121,MidMarket,North America,28,33526,06/29/2025 03:16,29-Jun-2025 17:21,high,billling,phone,integrations,46.9,845.6,3.0,False,True,False,False,False,False
TCK-16407,ACCT-0264,smb,APAC,35,3141,04/10/2025 13:47,10-Apr-2025 14:55,low,product_bug,chat,integrations,8.2,68.5,3.0,False,True,True,True,True,True
TCK-16378,ACCT-0105,enterprise,North America,43,88270,06/13/2025 14:28,06/13/2025 16:34,medium,usability,webForm,core_support,106.4,126.1,5.0,False,True,True,True,True,True
TCK-11809,ACCT-1203,smb,EMEA,45,5235,10/13/2025 23:00,14-Oct-2025 06:41,urgent,onboarding,chat,premium_support,35.8,461.7,4.0,False,True,False,False,False,False
TCK-16425,ACCT-0853,smb,North America,14,5811,07/04/2025 03:57,07/04/2025 06:09,medium,integration,email,core_support,78.7,132.1,4.0,False,True,True,False,False,False
TCK-20648,ACCT-0926,smb,North America,14,6133,2025/06/22 08:07:00,06/22/2025 09:35,medium,usability,chat,core_support,48.0,88.0,5.0,False,True,True,False,False,False
TCK-21033,ACCT-0599,smb,North America,39,3585,07/17/2025 22:12,07/17/2025 22:27,low,feature_request,webform,core_support,12.9,15.6,3.0,False,True,True,False,False,False
TCK-12204,ACCT-1137,midmarket,North America,35,30602,03/05/2025 14:48,03/05/2025 21:10,medium,integration,email,core_support,60.5,382.8,4.0,False,True,True,True,False,False
TCK-14532,ACCT-1405,midmarket,EMEA,34,29008,07/28/2025 08:32,07/28/2025 10:40,medium,onboarding,email,core_support,,128.2,3.0,False,True,True,True,False,False
TCK-11268,ACCT-0712,smb,North America,29,5290,23-Jan-2025 16:32,01/24/2025 01:34,high,integration,email,billing,258.2,542.9,3.0,False,False,False,False,False,False
TCK-13482,ACCT-0962,midmarket,EMEA,19,37204,14-Jul-2025 11:17,07/14/2025 23:42,medium,product_bug,E-mail,billing,207.5,745.3,,False,False,False,False,False,False
TCK-21355,ACCT-0917,smb,APAC,33,5390,08/05/2025 15:05,05-Aug-2025 16:20,Medium,billing,chat,integrations,13.3,75.0,3.0,False,True,True,False,False,False
TCK-15462,ACCT-1280,smb,EMEA,10,4783,2025/08/23 11:19:00,08/23/2025 12:43,high,feature_request,webform,BILLING,27.3,84.2,,False,True,True,False,False,False
TCK-18844,ACCT-1167,midmarket,North America,5,31395,31-Jan-2025 18:42,02/01/2025 02:21,high,product_bug,phone,core_support,9.3,459.3,5.0,False,True,True,False,False,False
TCK-19085,ACCT-0705,smb,EMEA,45,6491,29-Aug-2025 10:18,08/29/2025 19:44,high,billing,email,core_support,456.0,567.0,3.0,True,False,False,False,False,False
TCK-21964,ACCT-1029,smb,North America,15,4283,06/16/2025 10:55,2025/06/16 16:21:39,high,feature_request,chat,core_support,16.4,326.7,5.0,False,True,True,False,False,False
TCK-12383,ACCT-1340,smb,North America,28,4850,27-Jan-2025 16:53,01/27/2025 23:31,medium,integration,email,integrations,62.2,399.0,,False,True,True,False,False,False
TCK-11010,ACCT-1319,smb,North America,42,2283,18-May-2025 15:00,05/18/2025 18:59,high,product_bug,chat,core_support,25.4,239.9,3.0,False,True,True,False,False,False
TCK-18791,ACCT-0802,smb,North America,42,8106,2025/02/24 15:28:00,02/24/2025 18:10,low,feature_request,phone,integrations,65.5,162.5,4.0,False,True,True,True,False,False
TCK-19536,ACCT-0146,smb,EMEA,8,4892,05/17/2025 03:17,05/17/2025 05:11,high,product_bug,chat,core_support,4.1,114.5,3.0,False,True,True,False,False,False
TCK-17552,ACCT-1316,midmarket,North America,37,30388,05/16/2025 08:28,05/16/2025 12:53,high,usability,chat,premium_support,102.6,265.5,3.0,False,True,True,False,False,False
TCK-10010,ACCT-1398,smb,North America,34,2949,07/31/2025 13:40,07/31/2025 17:00,urgent,feature_request,chat,core_support,42.4,200.7,4.0,False,True,True,False,False,False
TCK-20239,ACCT-0114,midmarket,APAC,14,31749,05/26/2025 17:20,05/27/2025 01:23,medium,usability,chat,core_support,52.7,483.1,3.0,False,True,True,True,True,True
TCK-19017,ACCT-0636,smb,North America,13,8600,26-Aug-2025 18:46,26-Aug-2025 23:12,low,onboarding,,core_support,16.2,266.5,5.0,False,True,True,False,False,False
TCK-20371,ACCT-0697,smb,EMEA,4,6344,19-Jul-2025 08:44,19-Jul-2025 23:31,medium,onboarding,chat,core_support,150.7,887.1,3.0,False,True,False,False,False,False
TCK-14122,ACCT-0416,smb,APAC,23,2329,13-Apr-2025 14:14,04/13/2025 15:31,medium,billing,phone,billing,15.9,77.7,4.0,False,True,True,False,False,False
TCK-17989,ACCT-0579,smb,North America,34,4836,01/13/2025 11:07,01/13/2025 23:29,high,usability,chat,billing,51.7,742.3,3.0,False,True,False,False,False,False
TCK-18729,ACCT-0224,smb,EMEA,22,5293,07/13/2025 14:52,13-Jul-2025 16:55,low,billling,chat,Int.,57.4,124.0,3.0,False,True,True,False,False,False
TCK-19909,ACCT-0387,smb,EMEA,17,3259,07/29/2025 15:24,07/29/2025 19:04,medium,product_bug,chat,premium_support,0.8,220.1,3.0,False,True,True,False,False,False
TCK-21736,ACCT-0415,midmarket,APAC,27,18356,08/06/2025 13:31,08/06/2025 17:52,medium,usability,chat,core_support,107.4,261.9,4.0,False,True,True,False,False,False
TCK-14784,ACCT-0782,smb,APAC,12,6860,06/27/2025 09:25,06/27/2025 17:32,urgent,product_bug,chat,billing,73.1,487.5,3.0,False,False,False,False,False,False
TCK-18378,ACCT-0314,enterprise,EMEA,11,96531,10/04/2025 12:07,10/04/2025 12:18,medium,usability,phone,integrations,5.5,11.5,4.0,False,True,True,False,False,False
TCK-18892,ACCT-0052,midmarket,North America,40,31587,2025/08/16 07:57:00,16-Aug-2025 10:39,high,product_bug,phone,core_support,102.4,162.7,4.0,True,True,True,False,False,False
TCK-13975,ACCT-0209,smb,EMEA,12,5910,2025/02/07 16:18:00,02/08/2025 01:47,medium,,email,premium_support,246.3,569.3,3.0,False,False,True,False,False,False
TCK-20892,ACCT-0875,smb,APAC,10,5095,2025/07/27 08:36:00,07/27/2025 12:53,medium,integration,chat,integrations,3.6,257.2,,False,True,True,False,False,False
TCK-10943,ACCT-1147,midmarket,North America,18,13899,15-Oct-2025 10:55,10/15/2025 21:51,medium,feature_request,chat,core support,138.7,656.0,3.0,False,True,True,False,False,False
TCK-13002,ACCT-1223,smb,EMEA,39,4055,04/26/2025 17:21,04/27/2025 00:50,low,usability,chat,core_support,189.0,449.0,3.0,False,True,True,True,True,True
TCK-20448,ACCT-0093,midmarket,EMEA,26,9648,04/30/2025 02:11,04/30/2025 05:00,medium,integration,chat,billing,,169.5,5.0,False,True,True,False,False,False
TCK-20555,ACCT-1261,smb,North America,19,4609,2025/01/28 16:13:00,01/28/2025 22:35,medium,onboarding,email,integrations,132.7,382.2,3.0,False,True,True,True,False,False
TCK-18609,ACCT-1176,smb,North America,36,3080,04/11/2025 01:45,11-Apr-2025 05:14,medium,product_bug,webform,integrations,39.2,209.9,3.0,False,True,True,True,False,False
TCK-15209,ACCT-1431,smb,EMEA,27,6591,03/28/2025 11:21,03/28/2025 12:58,medium,feature_request,webform,core_support,61.6,97.7,3.0,False,True,True,False,False,False
TCK-18052,ACCT-0183,enterprise,EMEA,30,77336,07/09/2025 14:30,2025/07/09 20:23:44,low,integration,chat,billing,98.3,353.7,4.0,False,True,True,False,False,False
